编号	时长	时长s	MB	用途	RMS	峰值	前导s	尾出s	确认状态	客观特征
m01	5:04.5	304.48	6.33	【个人收藏】	0.10406	0.7306	0.45	7.55	用户已确认	
m01s	3:19.2	199.16	4.17	初始界面·浅色	0.10446	0.7322	0	7.55	用户已确认	
m02	2:48.5	168.53	3.38	日常·浅色	0.10446	0.6387	0.35	8.05	用户已确认	长淡出
m03	5:08.6	308.57	6.61	【个人收藏】	0.14627	0.8868	0.4	6.05	用户已确认	响亮
m04	4:27.4	267.44	5.28	未采用	0.10201	0.7453	0.4	7.85	未采用	强循环~123s
m05	4:05.0	245.01	5.24	未采用	0.13474	0.7853	0.7	10.05	未采用	长淡出
m06	5:13.1	313.08	6.26	日常·深色	0.08835	0.6412	0.5	6.65	用户已确认	
m07	4:01.5	241.54	4.91	未采用	0.07275	0.5608	0.45	11.85	未采用	长淡出
m08	5:12.8	312.77	6.43	日常·浅色	0.10924	0.7706	1	12.7	用户已确认	长淡出
m09	4:16.8	256.8	5.17	日常·浅色	0.08342	0.7238	0.7	13.1	用户已确认	长淡出, 强循环~114s
m10	3:17.1	197.13	4.22	未采用	0.11392	0.9179	0.45	14.45	未采用	长淡出
m11	3:21.4	201.4	4.29	未采用	0.10623	0.8716	0.35	7.45	未采用	
m12	3:17.9	197.88	4.3	未采用	0.14243	0.8498	0.45	7.25	未采用	响亮
m13	2:49.8	169.8	3.7	未采用	0.12043	0.8422	0.65	7.25	未采用	
m14	2:36.4	156.38	3.58	未采用	0.09872	0.7449	0.35	8.7	未采用	长淡出
m15	3:43.5	223.53	4.73	未采用	0.11223	0.7366	1.55	5.05	未采用	长前奏
m16	3:21.4	201.4	4.34	未采用	0.11214	0.7273	0.4	6.45	未采用	
m17	6:42.0	401.95	8.19	日常·浅色	0.0661	0.4776	0.5	0.2	用户已确认	安静, 无淡出, 强循环~196s
m18	2:27.4	147.42	2.68	日常·深色	0.05488	0.617	0.45	7.25	用户已确认	安静
m19	3:30.5	210.51	3.88	未采用	0.05698	0.3699	0.5	10.75	未采用	安静, 长淡出
m21	1:57.4	117.4	2.34	未采用	0.08695	0.5911	0.1	1.3	未采用	
m22	2:16.0	136.0	2.77	未采用	0.07784	0.5122	0	9.2	未采用	长淡出
m23	2:05.0	125.0	2.76	未采用	0.07246	0.652	0	5.1	未采用	
m24	2:00.0	120.01	2.52	未采用	0.08235	0.597	0	2.5	未采用	
m25	2:10.7	130.73	2.75	未采用	0.06674	0.7682	0	4.15	未采用	安静
m26	3:00.7	180.73	3.9	未采用	0.08041	0.5602	0	4.05	未采用	
m27	2:33.6	153.61	3.35	日常·浅色	0.09014	0.5304	0	3.15	用户已确认	
m28	2:31.6	151.56	3.08	未采用	0.07859	0.5153	0	2.5	未采用	
m29	2:26.3	146.27	3.17	日常·浅色	0.07607	0.47	0	2.8	用户已确认	
m30	2:49.4	169.4	3.44	未采用	0.06412	0.5646	0	1.5	未采用	安静
m31	1:55.0	115.01	2.15	未采用	0.07216	0.4725	0	3.2	未采用	
m32	2:22.5	142.51	2.7	未采用	0.07653	0.478	0	5.15	未采用	
m33	2:52.0	171.98	3.44	未采用	0.09363	0.5711	0	0.2	未采用	无淡出
m34	3:54.0	234.01	5.28	未采用	0.08232	0.4723	0.7	2.25	未采用	
m35	2:57.2	177.22	3.95	未采用	0.07346	0.4863	0.15	3.25	未采用	
m36	1:39.0	99.01	2.17	未采用	0.12568	0.5723	0.45	4.25	未采用	
m37	2:40.3	160.27	3.39	日常·浅色	0.12282	0.6833	0	0	用户已确认	无淡出
m38	1:09.0	69.01	1.42	未采用	0.07666	0.5266	0	5.45	未采用	短
m39	2:55.0	175.0	3.75	未采用	0.10256	0.6473	0	7.2	未采用	
m40	3:11.9	191.9	4.31	未采用	0.10453	0.567	0.2	0.3	未采用	无淡出
m41	3:48.0	228.01	4.42	【个人收藏】	0.10078	0.6772	0	5.35	用户已确认	
m42	1:52.4	112.42	2.24	未采用	0.04977	0.4521	0	5	未采用	极安静
m43	1:14.0	74.0	1.52	未采用	0.06717	0.5672	0	8.15	未采用	短, 安静, 长淡出
m44	2:41.7	161.75	3.58	未采用	0.14344	0.7795	0.15	10.4	未采用	响亮, 长淡出
m45	2:45.7	165.75	3.53	未采用	0.10528	0.7885	0.35	6.6	未采用	强循环~32s
m46	3:54.0	234.01	4.58	日常·深色	0.05213	0.528	0.4	10.6	用户已确认	安静, 长淡出
m47	3:00.0	180.01	3.57	日常·深色	0.08761	0.7647	0.35	6.1	用户已确认	
m48	3:19.8	199.76	4.28	未采用	0.09308	0.6843	0.6	5.95	未采用	强循环~70s
m49	4:06.3	246.29	5.36	日常·浅色	0.08115	0.7122	0.35	10.55	用户已确认	长淡出
m50	2:47.9	167.87	3.57	未采用	0.16498	0.7425	0.2	5.25	未采用	响亮
m51	3:28.9	208.91	4.57	未采用	0.12483	0.8459	0.2	3.7	未采用	
m52	3:39.2	219.24	4.76	未采用	0.12321	0.8389	0.2	4.55	未采用	
m53	3:48.5	228.55	4.44	ED	0.16824	0.7183	0.9	8.4	用户已确认	响亮, 长淡出
m54	0:59.2	59.21	0.94	未采用	0.05369	0.2538	3.6	4.8	未采用	短, 安静, 电平很低, 长前奏
m55	2:17.9	137.89	2.49	未采用	0.02774	0.2541	0	0.05	未采用	极安静, 电平很低, 无淡出
m56	3:05.8	185.82	3.36	初始界面·深色	0.02752	0.2548	0	0.1	用户已确认	极安静, 电平很低, 无淡出
m57	0:45.0	44.98	0.81	未采用	0.02817	0.2453	0	0.1	未采用	短, 极安静, 电平很低, 无淡出
m58	0:48.0	47.96	0.87	未采用	0.02688	0.2308	0	0.15	未采用	短, 极安静, 电平很低, 无淡出
m59	3:58.0	238.0	5.13	未采用	0.16291	0.8851	0.05	3.2	未采用	响亮
m60	3:34.0	214.0	4.61	未采用	0.13869	0.7929	0.95	3.75	未采用	强循环~105s
m61	3:01.0	181.01	3.83	未采用	0.15617	0.8737	0.6	4.25	未采用	响亮
m62	4:26.0	266.01	5.88	未采用	0.08895	0.7342	0.1	6.05	未采用	
m63	5:03.0	303.01	6.17	日常·深色	0.08102	0.745	0.05	3.5	用户已确认	
x_m64	4:03.0	243	5.03	未采用	0.07109	0.4711	2.45	13.65	未采用	长前奏, 长淡出
