编号	时长s	时长	MB	RMS	峰值	前导s	尾出s	循环相关	循环s	客观特征
m01	304.48	5:04.5	6.33	0.10406	0.7306	0.45	7.55	0.291	91.9	
m01s	199.16	3:19.2	4.17	0.10446	0.7322	0.00	7.55	0.499	88.1	无前奏
m02	168.53	2:48.5	3.38	0.10446	0.6387	0.35	8.05	0.282	42.1	长淡出
m03	308.57	5:08.6	6.61	0.14627	0.8868	0.40	6.05	0.202	48.0	响亮
m04	267.44	4:27.4	5.28	0.10201	0.7453	0.40	7.85	0.757	123.5	强循环(~123s)
m05	245.01	4:05.0	5.24	0.13474	0.7853	0.70	10.05	0.419	103.8	长淡出
m06	313.08	5:13.1	6.26	0.08835	0.6412	0.50	6.65	0.324	156.2	
m07	241.54	4:01.5	4.91	0.07275	0.5608	0.45	11.85	0.660	103.8	长淡出
m08	312.77	5:12.8	6.43	0.10924	0.7706	1.00	12.70	0.320	157.2	长淡出
m09	256.80	4:16.8	5.17	0.08342	0.7238	0.70	13.10	0.954	114.3	长淡出, 强循环(~114s)
m10	197.13	3:17.1	4.22	0.11392	0.9179	0.45	14.45	0.585	30.0	长淡出
m11	201.40	3:21.4	4.29	0.10623	0.8716	0.35	7.45	0.634	96.0	
m12	197.88	3:17.9	4.30	0.14243	0.8498	0.45	7.25	0.382	83.0	响亮
m13	169.80	2:49.8	3.70	0.12043	0.8422	0.65	7.25	0.339	46.0	
m14	156.38	2:36.4	3.58	0.09872	0.7449	0.35	8.70	0.216	48.0	长淡出
m15	223.53	3:43.5	4.73	0.11223	0.7366	1.55	5.05	0.114	34.4	长前奏
m16	201.40	3:21.4	4.34	0.11214	0.7273	0.40	6.45	0.537	73.8	
m17	401.95	6:42.0	8.19	0.06610	0.4776	0.50	0.20	0.967	196.3	安静, 无淡出, 强循环(~196s)
m18	147.42	2:27.4	2.68	0.05488	0.6170	0.45	7.25	0.443	24.6	安静
m19	210.51	3:30.5	3.88	0.05698	0.3699	0.50	10.75	0.180	79.7	安静, 长淡出
m21	117.40	1:57.4	2.34	0.08695	0.5911	0.10	1.30	0.591	52.7	无前奏
m22	136.00	2:16.0	2.77	0.07784	0.5122	0.00	9.20	0.146	43.9	无前奏, 长淡出
m23	125.00	2:05.0	2.76	0.07246	0.6520	0.00	5.10	0.530	40.0	无前奏
m24	120.01	2:00.0	2.52	0.08235	0.5970	0.00	2.50	0.261	21.4	无前奏
m25	130.73	2:10.7	2.75	0.06674	0.7682	0.00	4.15	0.537	57.1	安静, 无前奏
m26	180.73	3:00.7	3.90	0.08041	0.5602	0.00	4.05	0.189	33.9	无前奏
m27	153.61	2:33.6	3.35	0.09014	0.5304	0.00	3.15	0.327	57.6	无前奏
m28	151.56	2:31.6	3.08	0.07859	0.5153	0.00	2.50	0.466	75.8	无前奏
m29	146.27	2:26.3	3.17	0.07607	0.4700	0.00	2.80	0.140	73.2	无前奏
m30	169.40	2:49.4	3.44	0.06412	0.5646	0.00	1.50	0.405	73.4	安静, 无前奏
m31	115.01	1:55.0	2.15	0.07216	0.4725	0.00	3.20	0.506	41.1	无前奏
m32	142.51	2:22.5	2.70	0.07653	0.4780	0.00	5.15	0.133	20.6	无前奏
m33	171.98	2:52.0	3.44	0.09363	0.5711	0.00	0.20	0.370	49.7	无前奏, 无淡出
m34	234.01	3:54.0	5.28	0.08232	0.4723	0.70	2.25	0.182	55.4	
m35	177.22	2:57.2	3.95	0.07346	0.4863	0.15	3.25	0.204	91.0	
m36	99.01	1:39.0	2.17	0.12568	0.5723	0.45	4.25	0.393	15.6	
m37	160.27	2:40.3	3.39	0.12282	0.6833	0.00	0.00	0.417	32.0	无前奏, 无淡出
m38	69.01	1:09.0	1.42	0.07666	0.5266	0.00	5.45	0.635	12.8	短, 无前奏
m39	175.00	2:55.0	3.75	0.10256	0.6473	0.00	7.20	0.634	78.5	无前奏
m40	191.90	3:11.9	4.31	0.10453	0.5670	0.20	0.30	0.256	33.9	无淡出
m41	228.01	3:48.0	4.42	0.10078	0.6772	0.00	5.35	0.314	92.0	无前奏
m42	112.42	1:52.4	2.24	0.04977	0.4521	0.00	5.00	0.184	49.8	极安静, 无前奏
m43	74.00	1:14.0	1.52	0.06717	0.5672	0.00	8.15	0.585	12.8	短, 安静, 无前奏, 长淡出
m44	161.75	2:41.7	3.58	0.14344	0.7795	0.15	10.40	0.368	30.8	响亮, 长淡出
m45	165.75	2:45.7	3.53	0.10528	0.7885	0.35	6.60	0.720	32.2	强循环(~32s)
m46	234.01	3:54.0	4.58	0.05213	0.5280	0.40	10.60	0.312	36.0	安静, 长淡出
m47	180.01	3:00.0	3.57	0.08761	0.7647	0.35	6.10	0.509	92.1	
m48	199.76	3:19.8	4.28	0.09308	0.6843	0.60	5.95	0.806	70.2	强循环(~70s)
m49	246.29	4:06.3	5.36	0.08115	0.7122	0.35	10.55	0.459	78.2	长淡出
m50	167.87	2:47.9	3.57	0.16498	0.7425	0.20	5.25	0.475	60.0	响亮
m51	208.91	3:28.9	4.57	0.12483	0.8459	0.20	3.70	0.485	60.0	
m52	219.24	3:39.2	4.76	0.12321	0.8389	0.20	4.55	0.489	66.5	
m53	228.55	3:48.5	4.44	0.16824	0.7183	0.90	8.40	0.182	92.3	响亮, 长淡出
m54	59.21	0:59.2	0.94	0.05369	0.2538	3.60	4.80	0.219	17.6	短, 安静, 电平很低, 长前奏
m55	137.89	2:17.9	2.49	0.02774	0.2541	0.00	0.05	0.459	45.0	极安静, 电平很低, 无前奏, 无淡出
m56	185.82	3:05.8	3.36	0.02752	0.2548	0.00	0.10	0.445	48.0	极安静, 电平很低, 无前奏, 无淡出
m57	44.98	0:45.0	0.81	0.02817	0.2453	0.00	0.10	0.293	20.9	短, 极安静, 电平很低, 无前奏, 无淡出
m58	47.96	0:48.0	0.87	0.02688	0.2308	0.00	0.15	0.280	11.1	短, 极安静, 电平很低, 无前奏, 无淡出
m59	238.00	3:58.0	5.13	0.16291	0.8851	0.05	3.20	0.660	103.4	响亮, 无前奏
m60	214.00	3:34.0	4.61	0.13869	0.7929	0.95	3.75	0.747	104.6	强循环(~105s)
m61	181.01	3:01.0	3.83	0.15617	0.8737	0.60	4.25	0.140	94.5	响亮
m62	266.01	4:26.0	5.88	0.08895	0.7342	0.10	6.05	0.334	137.2	无前奏
m63	303.01	5:03.0	6.17	0.08102	0.7450	0.05	3.50	0.464	140.0	无前奏
x_m64	243.00	4:03.0	5.03	0.07109	0.4711	2.45	13.65	0.583	99.0	长前奏, 长淡出
